review_id,period,text,rating
R00000,pre,Too many ads and interruptions,1
R00001,pre,"Does what it says, no more no less",3
R00002,pre,Very slow and buggy,1
R00003,pre,"Love the new features, much improved",5
R00004,pre,Keeps logging me out randomly,2
R00005,pre,"Does what it says, no more no less",3
R00006,pre,Decent app for basic needs,3
R00007,pre,Average experience overall,3
R00008,pre,Best app in its category,4
R00009,pre,Not worth the subscription price,1
R00010,pre,App crashes frequently,1
R00011,pre,Average experience overall,3
R00012,pre,Easy to use and intuitive,5
R00013,pre,Excellent customer support,4
R00014,pre,Decent app for basic needs,3
R00015,pre,Keeps logging me out randomly,1
R00016,pre,"Love the new features, much improved",4
R00017,pre,Very satisfied with the update,5
R00018,pre,Decent app for basic needs,3
R00019,pre,Very slow and buggy,1
R00020,pre,Fast and reliable service,5
R00021,pre,Easy to use and intuitive,4
R00022,pre,Some good features but room for improvement,3
R00023,pre,Decent app for basic needs,3
R00024,pre,Easy to use and intuitive,5
R00025,pre,Not worth the subscription price,2
R00026,pre,Too many ads and interruptions,1
R00027,pre,Decent app for basic needs,3
R00028,pre,Decent app for basic needs,3
R00029,pre,Keeps logging me out randomly,1
R00030,pre,Very satisfied with the update,5
R00031,pre,Works perfectly every time,4
R00032,pre,Very slow and buggy,1
R00033,pre,Average experience overall,3
R00034,pre,Decent app for basic needs,3
R00035,pre,App crashes frequently,1
R00036,pre,"It works okay, nothing special",3
R00037,pre,"Great experience, very smooth",5
R00038,pre,Keeps logging me out randomly,2
R00039,pre,"Love the new features, much improved",4
R00040,pre,Some good features but room for improvement,3
R00041,pre,"Does what it says, no more no less",3
R00042,pre,Average experience overall,3
R00043,pre,Very satisfied with the update,4
R00044,pre,Average experience overall,3
R00045,pre,Very satisfied with the update,4
R00046,pre,"Does what it says, no more no less",3
R00047,pre,Some good features but room for improvement,3
R00048,pre,Terrible user experience,1
R00049,pre,Some good features but room for improvement,3
R00050,pre,Average experience overall,3
R00051,pre,Excellent customer support,4
R00052,pre,Very satisfied with the update,4
R00053,pre,Easy to use and intuitive,4
R00054,pre,Works perfectly every time,4
R00055,pre,Too many ads and interruptions,2
R00056,pre,"Does what it says, no more no less",3
R00057,pre,Best app in its category,4
R00058,pre,Decent app for basic needs,3
R00059,pre,Some good features but room for improvement,3
R00060,pre,Decent app for basic needs,3
R00061,pre,"Does what it says, no more no less",3
R00062,pre,Best app in its category,5
R00063,pre,Customer support is unhelpful,2
R00064,pre,Not worth the subscription price,1
R00065,pre,"Confusing interface, hard to navigate",2
R00066,pre,Not worth the subscription price,1
R00067,pre,"Love the new features, much improved",5
R00068,pre,Best app in its category,4
R00069,pre,Not worth the subscription price,2
R00070,pre,Not worth the subscription price,1
R00071,pre,Average experience overall,3
R00072,pre,"Confusing interface, hard to navigate",1
R00073,pre,Keeps logging me out randomly,2
R00074,pre,"It works okay, nothing special",3
R00075,pre,Fast and reliable service,5
R00076,pre,Very satisfied with the update,5
R00077,pre,"Does what it says, no more no less",3
R00078,pre,"Great experience, very smooth",4
R00079,pre,Average experience overall,3
R00080,pre,"Confusing interface, hard to navigate",1
R00081,pre,App crashes frequently,1
R00082,pre,"Does what it says, no more no less",3
R00083,pre,Keeps logging me out randomly,2
R00084,pre,Easy to use and intuitive,4
R00085,pre,Some good features but room for improvement,3
R00086,pre,Excellent customer support,5
R00087,pre,Very slow and buggy,2
R00088,pre,"Confusing interface, hard to navigate",2
R00089,pre,"It works okay, nothing special",3
R00090,pre,Not worth the subscription price,2
R00091,pre,Easy to use and intuitive,5
R00092,pre,Some good features but room for improvement,3
R00093,pre,Some good features but room for improvement,3
R00094,pre,"Confusing interface, hard to navigate",2
R00095,pre,Average experience overall,3
R00096,pre,Some good features but room for improvement,3
R00097,pre,App crashes frequently,2
R00098,pre,Average experience overall,3
R00099,pre,Easy to use and intuitive,5
R00100,pre,"It works okay, nothing special",3
R00101,pre,App crashes frequently,2
R00102,pre,Decent app for basic needs,3
R00103,pre,Keeps logging me out randomly,1
R00104,pre,"Great experience, very smooth",4
R00105,pre,Some good features but room for improvement,3
R00106,pre,"It works okay, nothing special",3
R00107,pre,Some good features but room for improvement,3
R00108,pre,Decent app for basic needs,3
R00109,pre,Decent app for basic needs,3
R00110,pre,Keeps logging me out randomly,2
R00111,pre,"It works okay, nothing special",3
R00112,pre,Works perfectly every time,5
R00113,pre,Not worth the subscription price,1
R00114,pre,"It works okay, nothing special",3
R00115,pre,Easy to use and intuitive,4
R00116,pre,Keeps logging me out randomly,2
R00117,pre,Keeps logging me out randomly,1
R00118,pre,"It works okay, nothing special",3
R00119,pre,Terrible user experience,1
R00120,pre,"Does what it says, no more no less",3
R00121,pre,Keeps logging me out randomly,1
R00122,pre,Too many ads and interruptions,2
R00123,pre,"It works okay, nothing special",3
R00124,pre,Best app in its category,5
R00125,pre,"Love the new features, much improved",5
R00126,pre,"It works okay, nothing special",3
R00127,pre,"Does what it says, no more no less",3
R00128,pre,Excellent customer support,4
R00129,pre,"Does what it says, no more no less",3
R00130,pre,"It works okay, nothing special",3
R00131,pre,"Confusing interface, hard to navigate",1
R00132,pre,Decent app for basic needs,3
R00133,pre,Best app in its category,5
R00134,pre,Some good features but room for improvement,3
R00135,pre,"Great experience, very smooth",5
R00136,pre,Average experience overall,3
R00137,pre,Average experience overall,3
R00138,pre,Average experience overall,3
R00139,pre,Fast and reliable service,5
R00140,pre,Keeps logging me out randomly,1
R00141,pre,Excellent customer support,5
R00142,pre,Very slow and buggy,1
R00143,pre,Very slow and buggy,1
R00144,pre,Decent app for basic needs,3
R00145,pre,App crashes frequently,2
R00146,pre,"It works okay, nothing special",3
R00147,pre,Excellent customer support,5
R00148,pre,"Love the new features, much improved",4
R00149,pre,Fast and reliable service,5
R00150,pre,"Confusing interface, hard to navigate",2
R00151,pre,Very slow and buggy,1
R00152,pre,Average experience overall,3
R00153,pre,"It works okay, nothing special",3
R00154,pre,Excellent customer support,4
R00155,pre,Customer support is unhelpful,1
R00156,pre,Too many ads and interruptions,2
R00157,pre,Best app in its category,4
R00158,pre,Best app in its category,5
R00159,pre,"Confusing interface, hard to navigate",1
R00160,pre,Decent app for basic needs,3
R00161,pre,Fast and reliable service,5
R00162,pre,Some good features but room for improvement,3
R00163,pre,Some good features but room for improvement,3
R00164,pre,"Confusing interface, hard to navigate",2
R00165,pre,Best app in its category,5
R00166,pre,"It works okay, nothing special",3
R00167,pre,"It works okay, nothing special",3
R00168,pre,"Great experience, very smooth",4
R00169,pre,Excellent customer support,5
R00170,pre,"Does what it says, no more no less",3
R00171,pre,Works perfectly every time,4
R00172,pre,"Does what it says, no more no less",3
R00173,pre,Some good features but room for improvement,3
R00174,pre,Works perfectly every time,4
R00175,pre,"It works okay, nothing special",3
R00176,pre,Customer support is unhelpful,1
R00177,pre,Excellent customer support,5
R00178,pre,"Does what it says, no more no less",3
R00179,pre,Very slow and buggy,2
R00180,pre,"Confusing interface, hard to navigate",2
R00181,pre,Excellent customer support,4
R00182,pre,Very slow and buggy,2
R00183,pre,Average experience overall,3
R00184,pre,Fast and reliable service,5
R00185,pre,"It works okay, nothing special",3
R00186,pre,Too many ads and interruptions,2
R00187,pre,Average experience overall,3
R00188,pre,Works perfectly every time,5
R00189,pre,Decent app for basic needs,3
R00190,pre,Customer support is unhelpful,1
R00191,pre,Terrible user experience,1
R00192,pre,Some good features but room for improvement,3
R00193,pre,Average experience overall,3
R00194,pre,Best app in its category,4
R00195,pre,Excellent customer support,5
R00196,pre,Fast and reliable service,4
R00197,pre,Very slow and buggy,2
R00198,pre,Very slow and buggy,2
R00199,pre,Terrible user experience,1
R00200,pre,Very slow and buggy,1
R00201,pre,Terrible user experience,1
R00202,pre,"Great experience, very smooth",4
R00203,pre,Decent app for basic needs,3
R00204,pre,"Great experience, very smooth",5
R00205,pre,"It works okay, nothing special",3
R00206,pre,Decent app for basic needs,3
R00207,pre,"Confusing interface, hard to navigate",2
R00208,pre,Not worth the subscription price,2
R00209,pre,"It works okay, nothing special",3
R00210,pre,"It works okay, nothing special",3
R00211,pre,Excellent customer support,4
R00212,pre,Customer support is unhelpful,2
R00213,pre,Too many ads and interruptions,1
R00214,pre,Easy to use and intuitive,5
R00215,pre,Some good features but room for improvement,3
R00216,pre,Very satisfied with the update,5
R00217,pre,Decent app for basic needs,3
R00218,pre,"Confusing interface, hard to navigate",2
R00219,pre,Terrible user experience,2
R00220,pre,Terrible user experience,1
R00221,pre,"It works okay, nothing special",3
R00222,pre,Best app in its category,5
R00223,pre,Average experience overall,3
R00224,pre,"Confusing interface, hard to navigate",1
R00225,pre,Very slow and buggy,1
R00226,pre,Fast and reliable service,5
R00227,pre,"Does what it says, no more no less",3
R00228,pre,"Does what it says, no more no less",3
R00229,pre,"Great experience, very smooth",5
R00230,pre,Average experience overall,3
R00231,pre,Best app in its category,5
R00232,pre,"Does what it says, no more no less",3
R00233,pre,Customer support is unhelpful,1
R00234,pre,"It works okay, nothing special",3
R00235,pre,Customer support is unhelpful,2
R00236,pre,Some good features but room for improvement,3
R00237,pre,Some good features but room for improvement,3
R00238,pre,"Love the new features, much improved",4
R00239,pre,Too many ads and interruptions,1
R00240,pre,Not worth the subscription price,2
R00241,pre,"Does what it says, no more no less",3
R00242,pre,"It works okay, nothing special",3
R00243,pre,Decent app for basic needs,3
R00244,pre,Decent app for basic needs,3
R00245,pre,Works perfectly every time,4
R00246,pre,Excellent customer support,5
R00247,pre,Works perfectly every time,4
R00248,pre,Best app in its category,5
R00249,pre,Terrible user experience,2
R00250,pre,"Love the new features, much improved",4
R00251,pre,Average experience overall,3
R00252,pre,"Great experience, very smooth",5
R00253,pre,"Great experience, very smooth",4
R00254,pre,Some good features but room for improvement,3
R00255,pre,"It works okay, nothing special",3
R00256,pre,Average experience overall,3
R00257,pre,Decent app for basic needs,3
R00258,pre,Best app in its category,5
R00259,pre,Easy to use and intuitive,5
R00260,pre,Customer support is unhelpful,2
R00261,pre,Best app in its category,4
R00262,pre,"Love the new features, much improved",5
R00263,pre,"Great experience, very smooth",4
R00264,pre,Too many ads and interruptions,2
R00265,pre,Best app in its category,5
R00266,pre,Excellent customer support,5
R00267,pre,Too many ads and interruptions,1
R00268,pre,Average experience overall,3
R00269,pre,Average experience overall,3
R00270,pre,Too many ads and interruptions,1
R00271,pre,Not worth the subscription price,1
R00272,pre,"Confusing interface, hard to navigate",1
R00273,pre,Very slow and buggy,1
R00274,pre,Terrible user experience,1
R00275,pre,App crashes frequently,2
R00276,pre,Very satisfied with the update,4
R00277,pre,Very satisfied with the update,5
R00278,pre,"Does what it says, no more no less",3
R00279,pre,Some good features but room for improvement,3
R00280,pre,Too many ads and interruptions,1
R00281,pre,Average experience overall,3
R00282,pre,Too many ads and interruptions,2
R00283,pre,"Great experience, very smooth",4
R00284,pre,Easy to use and intuitive,5
R00285,pre,Average experience overall,3
R00286,pre,Keeps logging me out randomly,1
R00287,pre,Average experience overall,3
R00288,pre,Terrible user experience,1
R00289,pre,App crashes frequently,2
R00290,pre,Some good features but room for improvement,3
R00291,pre,Keeps logging me out randomly,1
R00292,pre,Very satisfied with the update,4
R00293,pre,Average experience overall,3
R00294,pre,Decent app for basic needs,3
R00295,pre,Average experience overall,3
R00296,pre,Not worth the subscription price,1
R00297,pre,"Confusing interface, hard to navigate",2
R00298,pre,Not worth the subscription price,1
R00299,pre,Decent app for basic needs,3
R00300,pre,Fast and reliable service,4
R00301,pre,"Does what it says, no more no less",3
R00302,pre,Works perfectly every time,4
R00303,pre,Customer support is unhelpful,2
R00304,pre,Very slow and buggy,2
R00305,pre,Too many ads and interruptions,2
R00306,pre,Some good features but room for improvement,3
R00307,pre,"Great experience, very smooth",4
R00308,pre,Very satisfied with the update,4
R00309,pre,Works perfectly every time,5
R00310,pre,Works perfectly every time,4
R00311,pre,Some good features but room for improvement,3
R00312,pre,Keeps logging me out randomly,2
R00313,pre,Some good features but room for improvement,3
R00314,pre,Best app in its category,5
R00315,pre,Best app in its category,5
R00316,pre,"Great experience, very smooth",4
R00317,pre,Very slow and buggy,2
R00318,pre,Not worth the subscription price,2
R00319,pre,"It works okay, nothing special",3
R00320,pre,Very satisfied with the update,4
R00321,pre,Some good features but room for improvement,3
R00322,pre,"Does what it says, no more no less",3
R00323,pre,Easy to use and intuitive,4
R00324,pre,"Love the new features, much improved",4
R00325,pre,Average experience overall,3
R00326,pre,Average experience overall,3
R00327,pre,Some good features but room for improvement,3
R00328,pre,Very satisfied with the update,4
R00329,pre,Some good features but room for improvement,3
R00330,pre,Too many ads and interruptions,2
R00331,pre,Terrible user experience,1
R00332,pre,"Great experience, very smooth",4
R00333,pre,Very slow and buggy,1
R00334,pre,"Confusing interface, hard to navigate",2
R00335,pre,Customer support is unhelpful,1
R00336,pre,Decent app for basic needs,3
R00337,pre,Very slow and buggy,1
R00338,pre,Average experience overall,3
R00339,pre,Very satisfied with the update,5
R00340,pre,Keeps logging me out randomly,2
R00341,pre,Terrible user experience,2
R00342,pre,Excellent customer support,5
R00343,pre,Average experience overall,3
R00344,pre,"Love the new features, much improved",4
R00345,pre,App crashes frequently,1
R00346,pre,Best app in its category,5
R00347,pre,Keeps logging me out randomly,2
R00348,pre,"It works okay, nothing special",3
R00349,pre,"Love the new features, much improved",4
R00350,pre,Customer support is unhelpful,2
R00351,pre,Fast and reliable service,5
R00352,pre,Decent app for basic needs,3
R00353,pre,Excellent customer support,4
R00354,pre,Not worth the subscription price,1
R00355,pre,Average experience overall,3
R00356,pre,Keeps logging me out randomly,2
R00357,pre,Easy to use and intuitive,4
R00358,pre,Excellent customer support,5
R00359,pre,App crashes frequently,2
R00360,pre,Very satisfied with the update,4
R00361,pre,"Does what it says, no more no less",3
R00362,pre,"Confusing interface, hard to navigate",2
R00363,pre,Terrible user experience,1
R00364,pre,Keeps logging me out randomly,2
R00365,pre,Very slow and buggy,2
R00366,pre,Works perfectly every time,5
R00367,pre,Very satisfied with the update,4
R00368,pre,"Great experience, very smooth",4
R00369,pre,Not worth the subscription price,1
R00370,pre,"It works okay, nothing special",3
R00371,pre,Decent app for basic needs,3
R00372,pre,"Does what it says, no more no less",3
R00373,pre,"It works okay, nothing special",3
R00374,pre,"Love the new features, much improved",4
R00375,pre,Decent app for basic needs,3
R00376,pre,Some good features but room for improvement,3
R00377,pre,Decent app for basic needs,3
R00378,pre,Best app in its category,4
R00379,pre,Some good features but room for improvement,3
R00380,pre,Decent app for basic needs,3
R00381,pre,Very slow and buggy,1
R00382,pre,Some good features but room for improvement,3
R00383,pre,"It works okay, nothing special",3
R00384,pre,"It works okay, nothing special",3
R00385,pre,"Great experience, very smooth",4
R00386,pre,Not worth the subscription price,1
R00387,pre,Some good features but room for improvement,3
R00388,pre,Not worth the subscription price,2
R00389,pre,Terrible user experience,2
R00390,pre,Decent app for basic needs,3
R00391,pre,"Does what it says, no more no less",3
R00392,pre,Not worth the subscription price,1
R00393,pre,Too many ads and interruptions,2
R00394,pre,"Does what it says, no more no less",3
R00395,pre,Very satisfied with the update,4
R00396,pre,Excellent customer support,5
R00397,pre,Some good features but room for improvement,3
R00398,pre,"Does what it says, no more no less",3
R00399,pre,Easy to use and intuitive,4
R00400,pre,Works perfectly every time,4
R00401,pre,"Does what it says, no more no less",3
R00402,pre,Customer support is unhelpful,2
R00403,pre,Some good features but room for improvement,3
R00404,pre,Some good features but room for improvement,3
R00405,pre,Very slow and buggy,1
R00406,pre,Customer support is unhelpful,1
R00407,pre,Average experience overall,3
R00408,pre,Decent app for basic needs,3
R00409,pre,Average experience overall,3
R00410,pre,Decent app for basic needs,3
R00411,pre,Customer support is unhelpful,2
R00412,pre,"Does what it says, no more no less",3
R00413,pre,Average experience overall,3
R00414,pre,Average experience overall,3
R00415,pre,"Love the new features, much improved",4
R00416,pre,"Great experience, very smooth",5
R00417,pre,"It works okay, nothing special",3
R00418,pre,Best app in its category,5
R00419,pre,"It works okay, nothing special",3
R00420,pre,Not worth the subscription price,1
R00421,pre,Very satisfied with the update,4
R00422,pre,Too many ads and interruptions,1
R00423,pre,"Great experience, very smooth",4
R00424,pre,Some good features but room for improvement,3
R00425,pre,App crashes frequently,2
R00426,pre,Average experience overall,3
R00427,pre,Terrible user experience,2
R00428,pre,Some good features but room for improvement,3
R00429,pre,"Love the new features, much improved",4
R00430,pre,"Great experience, very smooth",4
R00431,pre,Best app in its category,5
R00432,pre,Too many ads and interruptions,1
R00433,pre,Fast and reliable service,5
R00434,pre,"Great experience, very smooth",4
R00435,pre,"It works okay, nothing special",3
R00436,pre,Excellent customer support,5
R00437,pre,Best app in its category,5
R00438,pre,App crashes frequently,2
R00439,pre,Very satisfied with the update,4
R00440,pre,"Love the new features, much improved",5
R00441,pre,Best app in its category,4
R00442,pre,Excellent customer support,5
R00443,pre,Very slow and buggy,1
R00444,pre,Average experience overall,3
R00445,pre,Customer support is unhelpful,1
